filename,title,url,filter_reason,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__100-reps-set-shocker-fullbody-workout__a1bfc08c4b.html,100 Reps Per Set Shocker Fullbody Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/100-reps-set-shocker-fullbody-workout,Pure gimmick. 100 reps per set is a shock technique.,fully equipped gym,muscle building,full body,both,intermediate,2
workouts__12-week-boot-camp-workout__56562b03df.html,Prepare For Boot Camp With This 12 Week Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-boot-camp-workout,Military boot camp prep for push-ups/sit-ups/running.,fully equipped gym,general fitness,full body,both,beginner,3
workouts__12-week-military-workout-program__675d7f0b7c.html,Boot Camp Burn: 12 Week Military Workout Program,https://www.muscleandstrength.com/workouts/12-week-military-workout-program,Explicitly military boot camp style.,home / small gym,fat loss,full body,both,beginner,4
workouts__3-day-full-body-planet-fitness-workout__c3222a29c2.html,3 Day Full Body Planet Fitness Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-planet-fitness-workout,Planet Fitness specific equipment and series.,fully equipped gym,muscle building,full body,both,beginner,3
workouts__30-day-military-athlete-workout-program__e1c050a0de.html,30 Day Military Athlete Workout Program,https://www.muscleandstrength.com/workouts/30-day-military-athlete-workout-program,Military-themed fitness.,fully equipped gym,general fitness,split,both,intermediate,6
workouts__4-day-upper-lower-planet-fitness-workout__6d1e914032.html,4 Day Upper/Lower Planet Fitness Workout,https://www.muscleandstrength.com/workouts/4-day-upper-lower-planet-fitness-workout,Planet Fitness specific.,fully equipped gym,muscle building,split,both,beginner,4
workouts__5-day-body-part-split-planet-fitness-workout__dd328025d2.html,5 Day Body Part Split Planet Fitness Workout,https://www.muscleandstrength.com/workouts/5-day-body-part-split-planet-fitness-workout,Planet Fitness specific.,fully equipped gym,muscle building,split,both,beginner,5
workouts__6-day-push-pull-legs-planet-fitness-workout__a3d011343b.html,6 Day Push/Pull/Legs Planet Fitness Workout,https://www.muscleandstrength.com/workouts/6-day-push-pull-legs-planet-fitness-workout,Planet Fitness specific.,fully equipped gym,muscle building,split,both,beginner,6
workouts__8-minute-squat-push-up-tabata__23681b49e4.html,8 Minute Squat & Push-Up Tabata Workout For Fat Loss,https://www.muscleandstrength.com/workouts/8-minute-squat-push-up-tabata,Too thin. 8-minute workout.,home / small gym,fat loss,split,both,beginner,3
workouts__army-combat-fitness-test__43bdc06bf6.html,Army Combat Fitness Test (ACFT) Prep Workout,https://www.muscleandstrength.com/workouts/army-combat-fitness-test,Designed for a specific military test.,fully equipped gym,muscle building,split,both,beginner,6
workouts__brandon-hendrickson-workout__8953de7f10.html,Men’s Physique Workout: Brandon Hendrickson Inspired Workout Routine,https://www.muscleandstrength.com/workouts/brandon-hendrickson-workout,Competition physique-specific prep.,fully equipped gym,fat loss,split,men,advanced,5
