filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
content__8-week-muscle-building-program-adults-40__4677fe1145.html,8-Week Muscle Building Program for Adults 40+ | Muscle & Strength,https://www.muscleandstrength.com/content/8-week-muscle-building-program-adults-40,fully equipped gym,muscle building,split,both,beginner,4
workouts__10-week-mass-building-program.html__804e618824.html,10 Week Mass Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html,fully equipped gym,muscle building,split,men,advanced,4
workouts__10-week-upper-lower-workout-for-women__c6b7a6a89a.html,10 Week Upper/Lower Workout Program for Women,https://www.muscleandstrength.com/workouts/10-week-upper-lower-workout-for-women,fully equipped gym,muscle building,split,women,intermediate,4
workouts__12-week-ab-workout-for-ab-definition-and-core-strength__964610fa71.html,12 Week Ab Workout for Ab Definition & Core Strength,https://www.muscleandstrength.com/workouts/12-week-ab-workout-for-ab-definition-and-core-strength,fully equipped gym,muscle building,single muscle group,both,intermediate,4
workouts__12-week-fat-annihilation-workout__65f5d61841.html,12 Week Total Fat Annihilation Workout Plan,https://www.muscleandstrength.com/workouts/12-week-fat-annihilation-workout,fully equipped gym,fat loss,split,both,advanced,4
workouts__12-week-fat-destroyer__7559ccac0a.html,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,fully equipped gym,fat loss,full body,both,beginner,4
workouts__15-min-burner__6238f40298.html,The 15 Min Burner: 4 Day Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/15-min-burner,home / small gym,fat loss,split,both,beginner,4
workouts__18-week-chin-up-dip-program-upper-body__25fd555c1c.html,18 Week Chin Up & Dip Program For An Impressive Upper Body | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-chin-up-dip-program-upper-body,home / small gym,muscle building,single muscle group,both,beginner,4
workouts__2-week-deload-program__baa27dd5d9.html,2-Week Deload Workout Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-week-deload-program,fully equipped gym,general fitness,split,both,beginner,4
workouts__22-4-day-split-bodybuilding-split-routine.html__32b9a4f835.html,4 Day Split Bodybuilding Split Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/22-4-day-split-bodybuilding-split-routine.html,fully equipped gym,muscle building,split,both,advanced,4
workouts__300-rise-new-you-workout-muscular-ripped__e23c217ff8.html,300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped | Muscle & Strength,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,home / small gym,general fitness,full body,both,beginner,4
workouts__4-day-advanced-upper-lower-workout-program-to-build-mass__cdec2d2ea5.html,4 Day Advanced Upper/Lower Workout Program to Build Mass,https://www.muscleandstrength.com/workouts/4-day-advanced-upper-lower-workout-program-to-build-mass,fully equipped gym,muscle building,split,men,advanced,4
workouts__4-day-at-home-womens-workout__85a875dd02.html,4 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/4-day-at-home-womens-workout,home / small gym,general fitness,full body,women,beginner,4
workouts__4-day-barbell-only-workout__551e290046.html,4 Day Barbell Only Workout (No Rack Required) | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-barbell-only-workout,home / small gym,muscle building,split,both,intermediate,4
workouts__4-day-machine-only-workout__f23f6f65f6.html,Machine Only Workout: 4 Day Workout Split,https://www.muscleandstrength.com/workouts/4-day-machine-only-workout,fully equipped gym,muscle building,split,both,beginner,4
workouts__4-day-power-muscle-burn-workout-split.html__e146c51e59.html,4 Day Power Muscle Burn Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-power-muscle-burn-workout-split.html,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-ppl-and-v-taper-intensifier-workout__f35f34da4c.html,4 Day Muscle Building Workout: PPL Split w/ V Taper Intensifier,https://www.muscleandstrength.com/workouts/4-day-ppl-and-v-taper-intensifier-workout,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-shred-cycle-workout__714f6166bc.html,4 Day Shred Cycle Fat Loss Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-shred-cycle-workout,fully equipped gym,fat loss,split,both,intermediate,4
workouts__4-week-beginner-kettlebell-workout__da2d374379.html,4 Week Beginner Kettlebell Workout For Muscle Growth,https://www.muscleandstrength.com/workouts/4-week-beginner-kettlebell-workout,home / small gym,muscle building,full body,both,beginner,4
workouts__4-week-leg-lashing-blast-workout-program__c44c34f998.html,4 Week Leg-Lashing Blast Workout Program,https://www.muscleandstrength.com/workouts/4-week-leg-lashing-blast-workout-program,fully equipped gym,muscle building,single muscle group,both,advanced,4
workouts__4-week-v-cuts-abs-workout__c7d0d20db7.html,4 Week “V Cuts Abs” Workout Routine,https://www.muscleandstrength.com/workouts/4-week-v-cuts-abs-workout,fully equipped gym,fat loss,split,both,intermediate,4
workouts__8-week-bench-press-builder__8b3d4a4d7a.html,8 Week Bench Press Builder | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-bench-press-builder,home / small gym,strength,single muscle group,both,intermediate,4
workouts__8-week-mass-building-workout-for-beginners__f4835a234f.html,8 Week Mass Building Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-mass-building-workout-for-beginners,fully equipped gym,muscle building,split,both,beginner,4
workouts__8-week-womens-beginner-fat-loss-workout__216790d6ad.html,8 Week Beginner Fat Loss Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-womens-beginner-fat-loss-workout,fully equipped gym,fat loss,split,women,beginner,4
workouts__8-week-womens-workout-routine__b4cefa79d3.html,Women’s Workout Routine: 8 Week Sample Workout for Women,https://www.muscleandstrength.com/workouts/8-week-womens-workout-routine,fully equipped gym,muscle building,split,women,beginner,4
workouts__advanced-muscle-building-workout-for-women__de0b9368aa.html,8-Week Advanced Muscle Building Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/advanced-muscle-building-workout-for-women,fully equipped gym,muscle building,split,women,advanced,4
workouts__at-home-glute-building-program__dee9f5961c.html,4-Day At-Home Glute Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/at-home-glute-building-program,home / small gym,muscle building,split,both,beginner,4
workouts__beginner-fat-loss-workout__c7c3560760.html,8 Week Fat Loss Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/beginner-fat-loss-workout,fully equipped gym,fat loss,split,both,beginner,4
workouts__bench-most-dayz__68413a50d5.html,Bench Most Dayz: Increase Bench Press Workout,https://www.muscleandstrength.com/workouts/bench-most-dayz,home / small gym,strength,single muscle group,both,beginner,4
workouts__best-full-body-workout-routine-for-women__84bd2db6b4.html,The Best Full Body Workout Routine for Women,https://www.muscleandstrength.com/workouts/best-full-body-workout-routine-for-women,fully equipped gym,fat loss,full body,women,beginner,4
workouts__body-god-complete-bodyweight-muscle-building-plan__884d194b60.html,Body Like A God: A Complete Bodyweight Muscle Building Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/body-god-complete-bodyweight-muscle-building-plan,body weight,muscle building,full body,both,beginner,4
workouts__boost-your-bench-press__5faa636e24.html,Boost Your Bench Press: The Ultimate Workout Plan to Increase Strength and Power | Muscle & Strength,https://www.muscleandstrength.com/workouts/boost-your-bench-press,fully equipped gym,strength,full body,both,beginner,4
