canonical_name,slug,used_in_n_workout_slots,cal_per_hr_150lb,cal_15min_150lb,met_estimate,calorie_source,match_type,match_score,fitclick_name,fitclick_eqID,fitclick_url,fitclick_category,fitclick_muscle,exercise_url
Squat,squat,159,442,110,6.19,fitclick_match,exact,1.0,Squat - (No extra weights),1841,https://www.fitclick.com/exercises_Squat_No_extra_weights_?eqID=1841,Thighs,Quadriceps,https://www.muscleandstrength.com/exercises/squat.html
Barbell Bench Press,barbell-bench-press,135,459,115,6.43,fitclick_match,exact,1.0,Barbell Bench Press,4,https://www.fitclick.com/exercises_Barbell_Bench_Press?eqID=4,Chest,Pectorals,https://www.muscleandstrength.com/exercises/barbell-bench-press.html
Deadlift,deadlifts,128,510,128,7.14,fitclick_match,exact,1.0,Deadlifts,22,https://www.fitclick.com/exercises_Deadlifts?eqID=22,Lower Back,Spinal Erectors,https://www.muscleandstrength.com/exercises/deadlifts.html
Leg Curl,leg-curl,108,272,68,3.81,fitclick_match,exact,1.0,Lying Leg Curls,54,https://www.fitclick.com/exercises_Lying_Leg_Curls?eqID=54,Thighs,Biceps Femoris (Hamstrings),https://www.muscleandstrength.com/exercises/leg-curl.html
Lateral Raise,dumbbell-lateral-raise,98,272,68,3.81,fitclick_match,fuzzy,1.0,Lateral Dumbbell Raises,51,https://www.fitclick.com/exercises_Lateral_Dumbbell_Raises?eqID=51,Shoulders,Medial Deltoids,https://www.muscleandstrength.com/exercises/dumbbell-lateral-raise.html
Leg Press,45-degree-leg-press,88,408,102,5.71,fitclick_match,fuzzy_low,0.67,Angled Leg Press,3,https://www.fitclick.com/exercises_Angled_Leg_Press?eqID=3,Thighs,Thighs,https://www.muscleandstrength.com/exercises/45-degree-leg-press.html
Seated Calf Raise,seated-calf-raise,86,238,60,3.33,fitclick_match,exact,1.0,Seated Calf Raises,87,https://www.fitclick.com/exercises_Seated_Calf_Raises?eqID=87,Calves,Soleus,https://www.muscleandstrength.com/exercises/seated-calf-raise.html
Plank,hover,83,221,55,3.1,fitclick_match,manual,1.0,Bridge (Plank),371,https://www.fitclick.com/exercises_Bridge_Plank_?eqID=371,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/hover.html
Barbell Curl,standing-barbell-curl,80,357,89,5.0,fitclick_match,exact,1.0,Standing Barbell Curls,99,https://www.fitclick.com/exercises_Standing_Barbell_Curls?eqID=99,Biceps,Biceps,https://www.muscleandstrength.com/exercises/standing-barbell-curl.html
Bent Over Row,bent-over-barbell-row,78,408,102,5.71,fitclick_match,exact,1.0,Bent-Over Barbell Rows,10,https://www.fitclick.com/exercises_Bent_Over_Barbell_Rows?eqID=10,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/bent-over-barbell-row.html
Dumbbell Bench Press,dumbbell-bench-press,76,442,110,6.19,fitclick_match,exact,1.0,Dumbbell Bench Press,26,https://www.fitclick.com/exercises_Dumbbell_Bench_Press?eqID=26,Chest,Pectorals,https://www.muscleandstrength.com/exercises/dumbbell-bench-press.html
Push Up,push-up,74,340,85,4.76,fitclick_match,exact,1.0,Pushups,77,https://www.fitclick.com/exercises_Pushups?eqID=77,Chest,Pectorals,https://www.muscleandstrength.com/exercises/push-up.html
Leg Extension,leg-extension,72,272,68,3.81,fitclick_match,exact,1.0,Leg Extensions,52,https://www.fitclick.com/exercises_Leg_Extensions?eqID=52,Thighs,Quadriceps,https://www.muscleandstrength.com/exercises/leg-extension.html
Incline Dumbbell Bench Press,incline-dumbbell-bench-press,70,408,102,5.71,fitclick_match,exact,1.0,Incline Dumbbell Press,47,https://www.fitclick.com/exercises_Incline_Dumbbell_Press?eqID=47,Chest,Upper Pectorals,https://www.muscleandstrength.com/exercises/incline-dumbbell-bench-press.html
Lat Pull Down,lat-pull-down,68,408,102,5.71,fitclick_match,fuzzy_low,0.67,Bowflex: Lat Pulldowns,2865,https://www.fitclick.com/exercises_Bowflex_Lat_Pulldowns?eqID=2865,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/lat-pull-down.html
Military Press,military-press,68,459,115,6.43,fitclick_match,exact,1.0,Standing Barbell Press,352,https://www.fitclick.com/exercises_Standing_Barbell_Press?eqID=352,Shoulders,Deltoids,https://www.muscleandstrength.com/exercises/military-press.html
Cable Tricep Extension,tricep-extension,67,340,85,4.76,fitclick_match,fuzzy_low,0.67,Lying Triceps Extensions,55,https://www.fitclick.com/exercises_Lying_Triceps_Extensions?eqID=55,Triceps,Triceps,https://www.muscleandstrength.com/exercises/tricep-extension.html
Seated Cable Row,seated-row,63,374,94,5.24,fitclick_match,exact,1.0,Seated Cable Rows,86,https://www.fitclick.com/exercises_Seated_Cable_Rows?eqID=86,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/seated-row.html
Standing Calf Raise,bodyweight-standing-calf-raise,58,204,51,2.86,fitclick_match,exact,1.0,Standing Calf Raises,101,https://www.fitclick.com/exercises_Standing_Calf_Raises?eqID=101,Calves,Gastrocnemius,https://www.muscleandstrength.com/exercises/bodyweight-standing-calf-raise.html
One Arm Dumbbell Row,one-arm-dumbbell-row,57,374,94,5.24,fitclick_match,fuzzy,0.8,Standing Dumbbell Rows: One-Arm,593,https://www.fitclick.com/exercises_Standing_Dumbbell_Rows_One_Arm?eqID=593,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-row.html
Lying Leg Raise,lying-floor-leg-raise,54,350,88,4.9,fitclick_match,fuzzy_low,0.67,Leg Raises,53,https://www.fitclick.com/exercises_Leg_Raises?eqID=53,Abdominals,Lower Rectus Abdominis,https://www.muscleandstrength.com/exercises/lying-floor-leg-raise.html
Goblet Squat,dumbbell-goblet-squat,53,408,102,5.71,fitclick_match,exact,1.0,Goblet Squat,2058,https://www.fitclick.com/exercises_Goblet_Squat?eqID=2058,Thighs,Quadriceps,https://www.muscleandstrength.com/exercises/dumbbell-goblet-squat
Incline Bench Press,incline-bench-press,52,442,110,6.19,fitclick_match,fuzzy,0.8,Incline Barbell Bench Press: Speed,550,https://www.fitclick.com/exercises_Incline_Barbell_Bench_Press_Speed?eqID=550,Chest,Upper Pectorals,https://www.muscleandstrength.com/exercises/incline-bench-press.html
Ab Crunch,ab-crunch,51,909,227,12.73,fitclick_match,exact,1.0,Crunch,1511,https://www.fitclick.com/exercises_Crunch?eqID=1511,Cardio,Workout Programs/Videos,https://www.muscleandstrength.com/exercises/ab-crunch
Wide Grip Pull Up,wide-grip-pull-up,51,544,136,7.62,fitclick_match,exact,1.0,Pull Up (Palms Away),2937,https://www.fitclick.com/exercises_Pull_Up_Palms_Away_?eqID=2937,Cardio,Home Activities,https://www.muscleandstrength.com/exercises/wide-grip-pull-up.html
Dumbbell Pullover,dumbbell-pullover,49,357,89,5.0,fitclick_match,exact,1.0,Dumbbell Pullovers,30,https://www.fitclick.com/exercises_Dumbbell_Pullovers?eqID=30,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/dumbbell-pullover.html
Stiff Leg Deadlift,stiff-leg-deadlift-aka-romanian-deadlift,49,442,110,6.19,fitclick_match,exact,1.0,Stiff-Legged Deadlifts,104,https://www.fitclick.com/exercises_Stiff_Legged_Deadlifts?eqID=104,Thighs,Biceps Femoris (Hamstrings),https://www.muscleandstrength.com/exercises/stiff-leg-deadlift-aka-romanian-deadlift.html
Seated Dumbbell Press,seated-dumbbell-press,48,408,102,5.71,fitclick_match,exact,1.0,Seated Dumbbell Press,89,https://www.fitclick.com/exercises_Seated_Dumbbell_Press?eqID=89,Shoulders,Deltoids,https://www.muscleandstrength.com/exercises/seated-dumbbell-press.html
Dumbbell Stiff Leg Deadlift,dumbbell-stiff-leg-deadlift,47,442,110,6.19,fitclick_match,exact,1.0,Stiff-Legged Deadlifts,104,https://www.fitclick.com/exercises_Stiff_Legged_Deadlifts?eqID=104,Thighs,Biceps Femoris (Hamstrings),https://www.muscleandstrength.com/exercises/dumbbell-stiff-leg-deadlift.html
Close Grip Bench Press,close-grip-bench-press,46,408,102,5.71,fitclick_match,exact,1.0,Close-Grip Bench Press,16,https://www.fitclick.com/exercises_Close_Grip_Bench_Press?eqID=16,Triceps,Pectorals,https://www.muscleandstrength.com/exercises/close-grip-bench-press.html
Dumbbell Shrug,dumbbell-shrugs,44,374,94,5.24,fitclick_match,exact,1.0,Dumbbell Shrugs,31,https://www.fitclick.com/exercises_Dumbbell_Shrugs?eqID=31,Trapezius,Trapezius,https://www.muscleandstrength.com/exercises/dumbbell-shrugs.html
Dumbbell Row,bent-over-dumbbell-row,44,408,102,5.71,fitclick_match,exact,1.0,Dumbbell Row,2060,https://www.fitclick.com/exercises_Dumbbell_Row?eqID=2060,Back,Trapezius,https://www.muscleandstrength.com/exercises/bent-over-dumbbell-row.html
Dumbbell Curl,standing-dumbbell-curl,44,357,89,5.0,fitclick_match,exact,1.0,Standing Dumbbell Curls,511,https://www.fitclick.com/exercises_Standing_Dumbbell_Curls?eqID=511,Biceps,Biceps,https://www.muscleandstrength.com/exercises/standing-dumbbell-curl.html
Pull Up,pull-up,43,544,136,7.62,fitclick_match,exact,1.0,Pull Up (Palms Away),2937,https://www.fitclick.com/exercises_Pull_Up_Palms_Away_?eqID=2937,Cardio,Home Activities,https://www.muscleandstrength.com/exercises/pull-up
Hanging Leg Raise,hanging-leg-raise,42,357,89,5.0,fitclick_match,exact,1.0,Hanging Leg Raises,42,https://www.fitclick.com/exercises_Hanging_Leg_Raises?eqID=42,Abdominals,Lower Rectus Abdominis,https://www.muscleandstrength.com/exercises/hanging-leg-raise.html
Rope Tricep Extension,rope-tricep-extension,41,272,68,3.81,fitclick_match,fuzzy_low,0.67,Rope Extensions,195,https://www.fitclick.com/exercises_Rope_Extensions?eqID=195,Triceps,Triceps,https://www.muscleandstrength.com/exercises/rope-tricep-extension.html
Chin Up,chin-up,40,408,102,5.71,fitclick_match,fuzzy,0.87,Chinup,380,https://www.fitclick.com/exercises_Chinup?eqID=380,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/chin-up.html
