filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__15-minute-core-conditioning-workout__46ec9adc20.html,15-Minute Core Conditioning Workout You Can Do Anywhere | Muscle & Strength,https://www.muscleandstrength.com/workouts/15-minute-core-conditioning-workout,body weight,general fitness,single muscle group,both,beginner,3
workouts__20-minute-hiit-workout__aa14f9ddc2.html,20 Minute HIIT Workout You Can Do Anywhere | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-minute-hiit-workout,body weight,fat loss,full body,both,beginner,2
workouts__27-home-based-ab-workout.html__06f231a1c1.html,Home-Based Ab Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/27-home-based-ab-workout.html,body weight,muscle building,single muscle group,both,beginner,3
workouts__42-beginner-ab-workout.html__f74f3e56ef.html,Beginner Ab Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/42-beginner-ab-workout.html,body weight,muscle building,single muscle group,both,beginner,1
workouts__6-week-bodyweight-only-workout__95f67cf51a.html,Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary) | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,body weight,fat loss,full body,both,beginner,3
workouts__backyard-bodyweight-workout__d03ea824a0.html,Backyard Bodyweight Workout For Women: Take It Out Back | Muscle & Strength,https://www.muscleandstrength.com/workouts/backyard-bodyweight-workout,body weight,general fitness,full body,women,beginner,3
workouts__body-god-complete-bodyweight-muscle-building-plan__884d194b60.html,Body Like A God: A Complete Bodyweight Muscle Building Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/body-god-complete-bodyweight-muscle-building-plan,body weight,muscle building,full body,both,beginner,4
workouts__bodyweight-basics-3-day-workout__a2dff5065a.html,Bodyweight Basics: 3 Day Bodyweight Workout Plan,https://www.muscleandstrength.com/workouts/bodyweight-basics-3-day-workout,body weight,general fitness,split,both,beginner,3
workouts__build-muscle-bodyweight-workout-routine-circuit__f7affd987a.html,Build Muscle With This Bodyweight Workout Routine Circuit | Muscle & Strength,https://www.muscleandstrength.com/workouts/build-muscle-bodyweight-workout-routine-circuit,body weight,general fitness,full body,both,beginner,3
workouts__full-body-bodyweight-workout.html__c174122661.html,Full Body Bodyweight Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/full-body-bodyweight-workout.html,body weight,muscle building,full body,both,beginner,1
workouts__king-calisthenics-workout-lean-muscle__0f1a2e81e9.html,King of Calisthenics Workout: Lean Muscle Without Equipment | Muscle & Strength,https://www.muscleandstrength.com/workouts/king-calisthenics-workout-lean-muscle,body weight,muscle building,full body,both,beginner,3
workouts__lower-body-blast-circuit-workout__41da8f19c7.html,Intense Lower Body Blast Circuit Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/lower-body-blast-circuit-workout,body weight,general fitness,split,women,beginner,1
workouts__playground-workouts__c4aae1ce4f.html,Playground Workouts: Having Fun While Building the Body You Want,https://www.muscleandstrength.com/workouts/playground-workouts,body weight,fat loss,split,both,beginner,3
workouts__single-pair-dumbbell-bodyweight-workout__b73419662b.html,4 Day Dumbbell and Bodyweight Fat Loss Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/single-pair-dumbbell-bodyweight-workout,body weight,fat loss,split,both,beginner,4
