id,title,category,equipment,fitness_goal,workout_type,gender,training_level,days_per_week,program_duration_weeks,time_per_workout,author,num_sections,num_exercises,has_video,has_pdf,url
8-week-muscle-building-program-adults-40,8-Week Muscle Building Program for Adults 40+,program,fully equipped gym,muscle building,split,both,beginner,4,8,60-90 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,30,False,True,https://www.muscleandstrength.com/content/8-week-muscle-building-program-adults-40
best-forearm-workout-strength-and-size,The Best Forearm Workout for Strength and Size,focused,home / small gym,muscle building,single muscle group,both,beginner,2,8,20 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,3,False,True,https://www.muscleandstrength.com/content/best-forearm-workout-strength-and-size
10-minute-intense-abs-workout,10 Minute Intense Abs Workout,focused,home / small gym,muscle building,single muscle group,both,beginner,3,8,10 minutes,Max Riley,1,6,False,True,https://www.muscleandstrength.com/workouts/10-minute-intense-abs-workout
10-week-fat-torcher,10 Week Fat Torcher: Fat Burning Program,program,fully equipped gym,fat loss,split,both,intermediate,7,10,60-90 minutes,Josh England,7,49,False,True,https://www.muscleandstrength.com/workouts/10-week-fat-torcher
10-week-mass-building-program,10 Week Mass Building Program,program,fully equipped gym,muscle building,split,men,advanced,4,10,50 minutes,M&S Writers,4,30,False,True,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html
10-week-upper-lower-workout-for-women,10 Week Upper/Lower Workout Program for Women,program,fully equipped gym,muscle building,split,women,intermediate,4,10,60-90 minutes,Josh England,4,23,False,True,https://www.muscleandstrength.com/workouts/10-week-upper-lower-workout-for-women
12-week-ab-workout-for-ab-definition-and-core-strength,12 Week Ab Workout for Ab Definition & Core Strength,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,4,12,10-20 minutes,Josh England,2,10,False,True,https://www.muscleandstrength.com/workouts/12-week-ab-workout-for-ab-definition-and-core-strength
12-week-beginners-training-routine,12 Week Full Body Workout Routine for Beginners,program,fully equipped gym,muscle building,full body,both,beginner,3,12,30-45 minutes,Doug Lawrenson,4,41,False,True,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html
12-week-build-bigger-bench,12 Weeks To A Bigger Bench Press,focused,fully equipped gym,strength,single muscle group,both,beginner,3,12,45-60 minutes,Jonathan Byrd,3,9,False,True,https://www.muscleandstrength.com/workouts/12-week-build-bigger-bench
12-week-fat-annihilation-workout,12 Week Total Fat Annihilation Workout Plan,program,fully equipped gym,fat loss,split,both,advanced,4,12,45-70 minutes,Josh England,4,45,False,True,https://www.muscleandstrength.com/workouts/12-week-fat-annihilation-workout
12-week-fat-destroyer,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,program,fully equipped gym,fat loss,full body,both,beginner,4,12,30-45 minutes,Max Riley,4,24,False,True,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer
12-week-kettlebell-ab-workout,Kettlebell Ab Workout: 12 Week Progression for Increased Core Strength,focused,home / small gym,strength,single muscle group,both,beginner,3,12,30-45 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,4,False,True,https://www.muscleandstrength.com/workouts/12-week-kettlebell-ab-workout
12-week-push-pull-legs-for-women,"12 Week Push, Pull, Legs Workout for Women",program,fully equipped gym,muscle building,split,women,intermediate,6,12,45-75 minutes,Josh England,6,40,False,True,https://www.muscleandstrength.com/workouts/12-week-push-pull-legs-for-women
