filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
content__8-week-muscle-building-program-adults-40__4677fe1145.html,8-Week Muscle Building Program for Adults 40+ | Muscle & Strength,https://www.muscleandstrength.com/content/8-week-muscle-building-program-adults-40,fully equipped gym,muscle building,split,both,beginner,4
content__best-forearm-workout-strength-and-size__61ff44e287.html,The Best Forearm Workout for Strength and Size | Muscle & Strength,https://www.muscleandstrength.com/content/best-forearm-workout-strength-and-size,home / small gym,muscle building,single muscle group,both,beginner,2
workouts__10-minute-intense-abs-workout__f4fb483b16.html,10 Minute Intense Abs Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-minute-intense-abs-workout,home / small gym,muscle building,single muscle group,both,beginner,3
workouts__10-week-mass-building-program.html__804e618824.html,10 Week Mass Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html,fully equipped gym,muscle building,split,men,advanced,4
workouts__10-week-upper-lower-workout-for-women__c6b7a6a89a.html,10 Week Upper/Lower Workout Program for Women,https://www.muscleandstrength.com/workouts/10-week-upper-lower-workout-for-women,fully equipped gym,muscle building,split,women,intermediate,4
workouts__12-week-ab-workout-for-ab-definition-and-core-strength__964610fa71.html,12 Week Ab Workout for Ab Definition & Core Strength,https://www.muscleandstrength.com/workouts/12-week-ab-workout-for-ab-definition-and-core-strength,fully equipped gym,muscle building,single muscle group,both,intermediate,4
workouts__12-week-beginners-training-routine.html__60253f8d82.html,12 Week Full Body Workout Routine for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,fully equipped gym,muscle building,full body,both,beginner,3
workouts__12-week-push-pull-legs-for-women__d4f0af9f23.html,"12 Week Push, Pull, Legs Workout for Women",https://www.muscleandstrength.com/workouts/12-week-push-pull-legs-for-women,fully equipped gym,muscle building,split,women,intermediate,6
workouts__15-minute-total-body-beatdown__a3b14bd897.html,The 15 Minute Total Body Beatdown,https://www.muscleandstrength.com/workouts/15-minute-total-body-beatdown,home / small gym,muscle building,full body,both,intermediate,1
workouts__18-week-chin-up-dip-program-upper-body__25fd555c1c.html,18 Week Chin Up & Dip Program For An Impressive Upper Body | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-chin-up-dip-program-upper-body,home / small gym,muscle building,single muscle group,both,beginner,4
workouts__2-day-simple-ab-split-by-steve.html__bb88f85080.html,2 Day Simple A/B Split by Steve | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-simple-ab-split-by-steve.html,home / small gym,muscle building,full body,both,beginner,2
