filename,title,url,filter_reason,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-minute-home-upper-body-workouts__a1c8bd2e1b.html,Three 10-Minute At Home Upper Body Workouts | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-minute-home-upper-body-workouts,"Strict review #70: 10-minute fragments, not a program",home / small gym,muscle building,split,both,beginner,3
workouts__12-week-off-season-classic-bodybuilding-workout__c305effa26.html,12 Week Off-Season Classic Physique Bodybuilding Workout,https://www.muscleandstrength.com/workouts/12-week-off-season-classic-bodybuilding-workout,Strict review #43: Bodybuilding-division specific (competition oriented),fully equipped gym,muscle building,split,men,intermediate,5
workouts__12-week-total-transformation-workout__1b2696ee40.html,Body Metamorphosis: 12 Week Transformation Workout to Help You Build Muscle,https://www.muscleandstrength.com/workouts/12-week-total-transformation-workout,Strict review #33: Generic transformation duplicate,fully equipped gym,muscle building,split,both,beginner,4
workouts__19-muscle-size--shape-definition-workout.html__0943e3b573.html,"Muscle Size, Shape & Definition Workout | Muscle & Strength",https://www.muscleandstrength.com/workouts/19-muscle-size--shape-definition-workout.html,Strict review #30: Old vague duplicate,fully equipped gym,muscle building,split,both,advanced,5
workouts__2-at-home-circuit-workouts-for-women__be6ee9775d.html,Workouts for Women: 2 Bodyweight Circuits You Can Do at Home,https://www.muscleandstrength.com/workouts/2-at-home-circuit-workouts-for-women,Strict review #01: Duplicate concept: another beginner bodyweight fat-loss circuit; women-titled in a 'both' slot,body weight,fat loss,full body,both,beginner,3
workouts__2-medicine-ball-full-body-workouts__873e45633a.html,Minimal Equipment Series: 2 Full Body Medicine Ball Workouts,https://www.muscleandstrength.com/workouts/2-medicine-ball-full-body-workouts,Strict review #61: Medicine-ball niche,home / small gym,muscle building,full body,both,beginner,3
workouts__2-workouts-to-help-grow-your-back__41ecb42ce2.html,2 Workouts To Help Grow Your Back in 8 Weeks,https://www.muscleandstrength.com/workouts/2-workouts-to-help-grow-your-back,Strict review #21: Duplicate back,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__20-minute-at-home-full-body-workout__1fd139a856.html,20 Minute At Home Full Body Workout Program,https://www.muscleandstrength.com/workouts/20-minute-at-home-full-body-workout,Strict review #51: Duplicate quick home circuit,home / small gym,fat loss,full body,both,beginner,3
workouts__2014-minutes-better-body-fast-start-plan__597516fa6c.html,2014 Minutes To A Better Body: 8 Week Fast Start Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/2014-minutes-better-body-fast-start-plan,Strict review #71: New-year themed duplicate,home / small gym,muscle building,split,both,beginner,4
workouts__21-compound-exercises-only-workout.html__12effcd9e0.html,Compound Exercises Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/21-compound-exercises-only-workout.html,"Strict review #36: Concept variant, duplicate audience",fully equipped gym,muscle building,split,both,intermediate,4
