filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__12-week-beginners-training-routine.html__60253f8d82.html,12 Week Full Body Workout Routine for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,fully equipped gym,muscle building,full body,both,beginner,3
workouts__12-week-fat-destroyer__7559ccac0a.html,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,fully equipped gym,fat loss,full body,both,beginner,4
workouts__15-minute-total-body-beatdown__a3b14bd897.html,The 15 Minute Total Body Beatdown,https://www.muscleandstrength.com/workouts/15-minute-total-body-beatdown,home / small gym,muscle building,full body,both,intermediate,1
workouts__2-day-intense-workout.html__beeb7dd88f.html,2 Day Intense Fat Loss & Muscle Tone Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-intense-workout.html,fully equipped gym,fat loss,full body,both,intermediate,2
workouts__2-day-simple-ab-split-by-steve.html__bb88f85080.html,2 Day Simple A/B Split by Steve | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-simple-ab-split-by-steve.html,home / small gym,muscle building,full body,both,beginner,2
workouts__20-minute-hiit-workout__aa14f9ddc2.html,20 Minute HIIT Workout You Can Do Anywhere | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-minute-hiit-workout,body weight,fat loss,full body,both,beginner,2
workouts__3-day-at-home-womens-workout__a9f165e578.html,3 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/3-day-at-home-womens-workout,home / small gym,fat loss,full body,women,beginner,3
workouts__3-day-dumbbell-only-workout-for-women__a3425ea293.html,3 Day Full Body Women's Dumbbell Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-dumbbell-only-workout-for-women,home / small gym,muscle building,full body,women,beginner,3
workouts__3-day-full-body-dumbbell-workout__13d5fcc8fb.html,Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-kettlebell-workout__8f50c0fafe.html,3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-whole-body-toning-workout.html__bd2847b58b.html,3 Day Full Body Toning Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,fully equipped gym,muscle building,full body,both,intermediate,3
workouts__300-rise-new-you-workout-muscular-ripped__e23c217ff8.html,300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped | Muscle & Strength,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,home / small gym,general fitness,full body,both,beginner,4
workouts__4-day-at-home-womens-workout__85a875dd02.html,4 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/4-day-at-home-womens-workout,home / small gym,general fitness,full body,women,beginner,4
workouts__4-week-beginner-kettlebell-workout__da2d374379.html,4 Week Beginner Kettlebell Workout For Muscle Growth,https://www.muscleandstrength.com/workouts/4-week-beginner-kettlebell-workout,home / small gym,muscle building,full body,both,beginner,4
workouts__45-minute-kettlebell-bodyweight-fat-loss-workout__20acd5e348.html,45-Minute Kettlebell and Bodyweight Workout for Fat Loss | Muscle & Strength,https://www.muscleandstrength.com/workouts/45-minute-kettlebell-bodyweight-fat-loss-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__5-week-full-body-kettlebell-workout__2b33b33491.html,5 Week Full Body Kettlebell Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-week-full-body-kettlebell-workout,home / small gym,fat loss,full body,both,beginner,5
