filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__12-week-build-bigger-bench__b816c959f1.html,12 Weeks To A Bigger Bench Press | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-build-bigger-bench,fully equipped gym,strength,single muscle group,both,beginner,3
workouts__12-week-kettlebell-ab-workout__1247988cfe.html,Kettlebell Ab Workout: 12 Week Progression for Increased Core Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-kettlebell-ab-workout,home / small gym,strength,single muscle group,both,beginner,3
workouts__18-week-bench-press-peaking-cycle__b7d7c797e1.html,18 Week Bench Press Peaking Cycle | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-bench-press-peaking-cycle,fully equipped gym,strength,single muscle group,both,intermediate,1
workouts__3-day-PPL-workout-for-beginners__e045c5080d.html,3 Day Push/Pull/Legs (PPL) Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-PPL-workout-for-beginners,fully equipped gym,strength,split,both,beginner,3
workouts__4-week-beginner-core-strength__9845d1c04a.html,4 Week Beginner Core Strength Trainer,https://www.muscleandstrength.com/workouts/4-week-beginner-core-strength,home / small gym,strength,single muscle group,both,beginner,6
workouts__6-week-womens-strength-and-conditioning__5d935bef21.html,6-Week Women’s Full Body Strength and Conditioning Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-week-womens-strength-and-conditioning,home / small gym,strength,full body,women,beginner,3
workouts__8-week-bench-press-builder__8b3d4a4d7a.html,8 Week Bench Press Builder | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-bench-press-builder,home / small gym,strength,single muscle group,both,intermediate,4
workouts__8-week-super-strength-workout__6ef10ea81e.html,Super Strength: 8 Week Strength Building Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-super-strength-workout,fully equipped gym,strength,split,both,beginner,5
workouts__8-weeks-stronger-deadlift__8191cc5108.html,8 Weeks To A Stronger Deadlift | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-weeks-stronger-deadlift,fully equipped gym,strength,single muscle group,both,intermediate,1
workouts__beef-up-bench-press-10x3-workout-program__a15bed92c7.html,Beef Up Your Bench Press 10x3 Workout Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/beef-up-bench-press-10x3-workout-program,fully equipped gym,strength,split,men,intermediate,3
workouts__bench-most-dayz__68413a50d5.html,Bench Most Dayz: Increase Bench Press Workout,https://www.muscleandstrength.com/workouts/bench-most-dayz,home / small gym,strength,single muscle group,both,beginner,4
workouts__big-and-strong-advanced-program__bd0af30848.html,Big and Strong: 8 Week Advanced Strength Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/big-and-strong-advanced-program,fully equipped gym,strength,split,both,advanced,5
workouts__bill-starr-5x5-linear-version-intermediate-lifters.html__72636f980c.html,Bill Starr 5x5 Linear Version For Intermediate Lifters | Muscle & Strength,https://www.muscleandstrength.com/workouts/bill-starr-5x5-linear-version-intermediate-lifters.html,home / small gym,strength,full body,both,intermediate,3
workouts__boost-your-bench-press__5faa636e24.html,Boost Your Bench Press: The Ultimate Workout Plan to Increase Strength and Power | Muscle & Strength,https://www.muscleandstrength.com/workouts/boost-your-bench-press,fully equipped gym,strength,full body,both,beginner,4
workouts__concrete-core-workouts__c686dc2c75.html,Concrete Core: 4 Core Workouts for Stronger Abs,https://www.muscleandstrength.com/workouts/concrete-core-workouts,home / small gym,strength,single muscle group,both,beginner,4
workouts__conjugate-system-beginner-powerlifting-workout-phase-1__795eece779.html,The Conjugate System: Phase 1 of the Beginner Powerlifting Workout,https://www.muscleandstrength.com/workouts/conjugate-system-beginner-powerlifting-workout-phase-1,fully equipped gym,strength,split,both,beginner,4
workouts__core-strength-blueprint-4__fc3db55ae3.html,MusclePharm's Core Strength Blueprint Workout v1.4 With Coach Myers,https://www.muscleandstrength.com/workouts/core-strength-blueprint-4,home / small gym,strength,full body,both,intermediate,4
workouts__core-strength-road-map__c485888fda.html,Core Strength Road Map: 4 Weeks to a Shredded & Strong Core,https://www.muscleandstrength.com/workouts/core-strength-road-map,fully equipped gym,strength,single muscle group,both,beginner,3
workouts__deadlift-specialization-program__6b0ca6f473.html,5-Day Deadlift Workout Program for Max Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/deadlift-specialization-program,fully equipped gym,strength,split,both,intermediate,5
