filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-week-mass-building-program.html__804e618824.html,10 Week Mass Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html,fully equipped gym,muscle building,split,men,advanced,4
workouts__20-rep-quad-hamstring-shock-workout__3dfac94b6e.html,20 Rep Quad & Hamstring Shock Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-rep-quad-hamstring-shock-workout,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__3-giant-sets-for-giant-arms__29a1d19b7c.html,3 Giant Sets to Build Giant Arms | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-giant-sets-for-giant-arms,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__3-week-pump-tacular-pecs-workout__58fdd8865e.html,Pump-Tacular Pecs: 3 Week Workout to Pump Up Your Chest,https://www.muscleandstrength.com/workouts/3-week-pump-tacular-pecs-workout,fully equipped gym,muscle building,single muscle group,men,advanced,1
workouts__4-day-advanced-upper-lower-workout-program-to-build-mass__cdec2d2ea5.html,4 Day Advanced Upper/Lower Workout Program to Build Mass,https://www.muscleandstrength.com/workouts/4-day-advanced-upper-lower-workout-program-to-build-mass,fully equipped gym,muscle building,split,men,advanced,4
workouts__4-week-hamstring-helper-workout__7c3ffff945.html,4 Week Hamstring Helper Workout Program,https://www.muscleandstrength.com/workouts/4-week-hamstring-helper-workout,fully equipped gym,muscle building,single muscle group,men,intermediate,2
workouts__4-week-workout-to-build-biceps-that-peak__f0ac34f60c.html,4 Week Biceps Workout to Build Peaking Bi's,https://www.muscleandstrength.com/workouts/4-week-workout-to-build-biceps-that-peak,fully equipped gym,muscle building,single muscle group,men,intermediate,2
workouts__6-day-workout-and-guide-to-building-muscle-mass__15a8a86e1c.html,6 Day Workout & Guide to Put on Muscle Mass,https://www.muscleandstrength.com/workouts/6-day-workout-and-guide-to-building-muscle-mass,fully equipped gym,muscle building,split,men,advanced,6
workouts__8-week-novice-quick-start-workout-plan__e8f591226c.html,8 Week Novice Quick Start Workout Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-novice-quick-start-workout-plan,fully equipped gym,muscle building,full body,men,beginner,3
workouts__8-week-pec-pounder__9adabdc635.html,Pec-Pounder: 8 Week Chest Workout to Shatter Your Plateau | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-pec-pounder,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__8-week-plateau-busting-pyramid-workout__8fb0783865.html,8 Week Plateau Busting Pyramid Workout Program,https://www.muscleandstrength.com/workouts/8-week-plateau-busting-pyramid-workout,fully equipped gym,muscle building,split,men,advanced,5
workouts__beef-up-bench-press-10x3-workout-program__a15bed92c7.html,Beef Up Your Bench Press 10x3 Workout Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/beef-up-bench-press-10x3-workout-program,fully equipped gym,strength,split,men,intermediate,3
workouts__building-the-x-frame-10-week-workout__55e1774559.html,Building the X Frame: 10 Week Muscle Building Workout,https://www.muscleandstrength.com/workouts/building-the-x-frame-10-week-workout,fully equipped gym,muscle building,split,men,intermediate,4
workouts__bulldozer-training-3-day-workout-split__508d9f6a25.html,Bulldozer Training 3 Day Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/bulldozer-training-3-day-workout-split,fully equipped gym,muscle building,split,men,intermediate,3
workouts__chadwick-boseman-workout-program__084c170bf1.html,Chadwick Boseman Inspired Workout: Train Like Black Panther,https://www.muscleandstrength.com/workouts/chadwick-boseman-workout-program,home / small gym,fat loss,full body,men,intermediate,5
workouts__clear-muscle-challenge__4d9990b098.html,The 12-Week Clear Muscle Challenge Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/clear-muscle-challenge,fully equipped gym,muscle building,full body,men,advanced,3
workouts__dumbbell-only-home-or-gym-fullbody-workout.html__4e03804504.html,Dumbbell Only Home Or Gym Full Body Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-only-home-or-gym-fullbody-workout.html,home / small gym,muscle building,full body,men,beginner,3
