filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-week-fat-torcher__f17e5017fc.html,10 Week Fat Torcher: Fat Burning Program,https://www.muscleandstrength.com/workouts/10-week-fat-torcher,fully equipped gym,fat loss,split,both,intermediate,7
workouts__10-week-upper-lower-workout-for-women__c6b7a6a89a.html,10 Week Upper/Lower Workout Program for Women,https://www.muscleandstrength.com/workouts/10-week-upper-lower-workout-for-women,fully equipped gym,muscle building,split,women,intermediate,4
workouts__12-week-ab-workout-for-ab-definition-and-core-strength__964610fa71.html,12 Week Ab Workout for Ab Definition & Core Strength,https://www.muscleandstrength.com/workouts/12-week-ab-workout-for-ab-definition-and-core-strength,fully equipped gym,muscle building,single muscle group,both,intermediate,4
workouts__12-week-push-pull-legs-for-women__d4f0af9f23.html,"12 Week Push, Pull, Legs Workout for Women",https://www.muscleandstrength.com/workouts/12-week-push-pull-legs-for-women,fully equipped gym,muscle building,split,women,intermediate,6
workouts__12-week-womens-bikini-prep-workout__c71e03881f.html,12 Week Women's Bikini Prep Workout Program,https://www.muscleandstrength.com/workouts/12-week-womens-bikini-prep-workout,fully equipped gym,fat loss,split,women,intermediate,5
workouts__15-minute-total-body-beatdown__a3b14bd897.html,The 15 Minute Total Body Beatdown,https://www.muscleandstrength.com/workouts/15-minute-total-body-beatdown,home / small gym,muscle building,full body,both,intermediate,1
workouts__18-week-bench-press-peaking-cycle__b7d7c797e1.html,18 Week Bench Press Peaking Cycle | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-bench-press-peaking-cycle,fully equipped gym,strength,single muscle group,both,intermediate,1
workouts__2-day-intense-workout.html__beeb7dd88f.html,2 Day Intense Fat Loss & Muscle Tone Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/2-day-intense-workout.html,fully equipped gym,fat loss,full body,both,intermediate,2
workouts__2-weekly-workouts-for-larger-legs__f69e6a19e7.html,2 Weekly Workouts for Larger Legs,https://www.muscleandstrength.com/workouts/2-weekly-workouts-for-larger-legs,fully equipped gym,muscle building,single muscle group,both,intermediate,2
workouts__20-6-day-weight-cardio-cutting-workout.html__05afe37b08.html,Fat Blaster: 6 Day Weight/Cardio Cutting Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-6-day-weight-cardio-cutting-workout.html,fully equipped gym,fat loss,split,both,intermediate,6
workouts__20-rep-quad-hamstring-shock-workout__3dfac94b6e.html,20 Rep Quad & Hamstring Shock Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/20-rep-quad-hamstring-shock-workout,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__3-day-power-muscle-burn__53df2f3611.html,3 Day Power Muscle Burn Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-power-muscle-burn,fully equipped gym,muscle building,split,both,intermediate,3
workouts__3-day-whole-body-toning-workout.html__bd2847b58b.html,3 Day Full Body Toning Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,fully equipped gym,muscle building,full body,both,intermediate,3
workouts__3-giant-sets-for-giant-arms__29a1d19b7c.html,3 Giant Sets to Build Giant Arms | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-giant-sets-for-giant-arms,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__36-8-week-intense-back-workout.html__69852b2d2f.html,8 Week Intense Back Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/36-8-week-intense-back-workout.html,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__4-day-barbell-only-workout__551e290046.html,4 Day Barbell Only Workout (No Rack Required) | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-barbell-only-workout,home / small gym,muscle building,split,both,intermediate,4
workouts__4-day-power-muscle-burn-workout-split.html__e146c51e59.html,4 Day Power Muscle Burn Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-power-muscle-burn-workout-split.html,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-ppl-and-v-taper-intensifier-workout__f35f34da4c.html,4 Day Muscle Building Workout: PPL Split w/ V Taper Intensifier,https://www.muscleandstrength.com/workouts/4-day-ppl-and-v-taper-intensifier-workout,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-shred-cycle-workout__714f6166bc.html,4 Day Shred Cycle Fat Loss Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-shred-cycle-workout,fully equipped gym,fat loss,split,both,intermediate,4
workouts__4-week-hamstring-helper-workout__7c3ffff945.html,4 Week Hamstring Helper Workout Program,https://www.muscleandstrength.com/workouts/4-week-hamstring-helper-workout,fully equipped gym,muscle building,single muscle group,men,intermediate,2
workouts__4-week-v-cuts-abs-workout__c7d0d20db7.html,4 Week “V Cuts Abs” Workout Routine,https://www.muscleandstrength.com/workouts/4-week-v-cuts-abs-workout,fully equipped gym,fat loss,split,both,intermediate,4
workouts__4-week-workout-to-build-biceps-that-peak__f0ac34f60c.html,4 Week Biceps Workout to Build Peaking Bi's,https://www.muscleandstrength.com/workouts/4-week-workout-to-build-biceps-that-peak,fully equipped gym,muscle building,single muscle group,men,intermediate,2
workouts__5-day-dumbbell-only-workout-split__cca2bc8a97.html,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,https://www.muscleandstrength.com/workouts/5-day-dumbbell-only-workout-split,home / small gym,muscle building,split,both,intermediate,5
workouts__5-day-push-pull-legs-workout-program-cycle__f5fda56d50.html,"5 Day Push, Pull, Legs Workout Program Cycle",https://www.muscleandstrength.com/workouts/5-day-push-pull-legs-workout-program-cycle,fully equipped gym,muscle building,split,both,intermediate,5
workouts__5-day-workout-routine-for-women__959ae80c65.html,Workout Routine for Women: 5 Day Sample Women's Workout,https://www.muscleandstrength.com/workouts/5-day-workout-routine-for-women,fully equipped gym,muscle building,split,women,intermediate,5
workouts__5000-rep-arm-specialization-program__d83201b4fc.html,"10 Week Program & 5,000 Rep Arm Specialization Program | Muscle & Strength",https://www.muscleandstrength.com/workouts/5000-rep-arm-specialization-program,fully equipped gym,muscle building,single muscle group,both,intermediate,3
workouts__6-day-dumbbell-only-workout__a3af2eedb7.html,Dumbbell Only Workout: 6 Day Dumbbell Workout Split,https://www.muscleandstrength.com/workouts/6-day-dumbbell-only-workout,home / small gym,muscle building,split,both,intermediate,6
workouts__6-day-low-volume-high-intensity-workout-split__3c41bb97f5.html,6 Day Low Volume High-Intensity Workout Split,https://www.muscleandstrength.com/workouts/6-day-low-volume-high-intensity-workout-split,fully equipped gym,muscle building,split,both,intermediate,6
workouts__6-day-powerbuilding-split-meal-plan__6a1068e1d4.html,6 Day Push/Pull/Legs (PPL) Powerbuilding Workout Split & Meal Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-day-powerbuilding-split-meal-plan,fully equipped gym,muscle building,split,both,intermediate,6
workouts__6-week-extreme-fat-loss-workout__bd5c804d5c.html,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/6-week-extreme-fat-loss-workout,home / small gym,fat loss,full body,both,intermediate,3
workouts__8-week-bench-press-builder__8b3d4a4d7a.html,8 Week Bench Press Builder | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-bench-press-builder,home / small gym,strength,single muscle group,both,intermediate,4
workouts__8-week-cannonball-delts__da04ad6317.html,8-Week Shoulder Workout to Build Cannonball Delts | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-cannonball-delts,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__8-week-giant-shoulders__592e5b2484.html,Giant Sets For Giant Boulder Shoulders In 8 Weeks,https://www.muscleandstrength.com/workouts/8-week-giant-shoulders,home / small gym,muscle building,single muscle group,both,intermediate,1
