filename,title,url,filter_reason,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__conjugate-system-beginner-powerlifting-workout-phase-2__4622f1d03c.html,The Conjugate System: Phase 2 of the Beginner Powerlifting Workout,https://www.muscleandstrength.com/workouts/conjugate-system-beginner-powerlifting-workout-phase-2,Duplicate series: Conjugate Phase 2 (keep Phase 1),fully equipped gym,strength,split,both,beginner,4
workouts__conjugate-system-beginner-powerlifting-workout-phase-3__2d67fcf336.html,The Conjugate System: Phase 3 of the Beginner Powerlifting Workout,https://www.muscleandstrength.com/workouts/conjugate-system-beginner-powerlifting-workout-phase-3,Duplicate series: Conjugate Phase 3 (keep Phase 1),home / small gym,strength,split,both,beginner,4
workouts__cut-like-cutler-cycle-2__e27529515f.html,Cut Like Cutler Trainer - Cycle 2 Workouts,https://www.muscleandstrength.com/workouts/cut-like-cutler-cycle-2,Duplicate series: Cut Like Cutler Cycle 2 (keep Cycle 1),fully equipped gym,muscle building,split,both,beginner,5
workouts__cut-like-cutler-cycle-3__d135e08c63.html,Cut Like Cutler Trainer - Cycle 3 Workouts,https://www.muscleandstrength.com/workouts/cut-like-cutler-cycle-3,Duplicate series: Cut Like Cutler Cycle 3 (keep Cycle 1),fully equipped gym,muscle building,split,both,beginner,5
workouts__cut-like-cutler-cycle-4__da2d5e636e.html,Cut Like Cutler Trainer - Cycle 4 Workouts,https://www.muscleandstrength.com/workouts/cut-like-cutler-cycle-4,Duplicate series: Cut Like Cutler Cycle 4 (keep Cycle 1),fully equipped gym,muscle building,split,both,beginner,5
workouts__cut-like-cutler-cycle-5__68bbe98934.html,Cut Like Cutler Trainer - Cycle 5 Workouts,https://www.muscleandstrength.com/workouts/cut-like-cutler-cycle-5,Duplicate series: Cut Like Cutler Cycle 5 (keep Cycle 1),fully equipped gym,muscle building,split,both,beginner,5
workouts__cut-like-cutler-cycle-6__4776025dfd.html,Cut Like Cutler Trainer - Cycle 6 Workouts,https://www.muscleandstrength.com/workouts/cut-like-cutler-cycle-6,Duplicate series: Cut Like Cutler Cycle 6 (keep Cycle 1),fully equipped gym,muscle building,split,both,beginner,5
workouts__first-show-contest-prep-workout__15e70bcec8.html,Contest Prep Workout: Preparing for Your First Bodybuilding Show,https://www.muscleandstrength.com/workouts/first-show-contest-prep-workout,"Competition-specific: bodybuilding contest prep for first show, not general fat loss",fully equipped gym,fat loss,split,both,beginner,4
workouts__mpp-day-1__7b1a901117.html,Mass Performance Program - Day 1: Upper Body,https://www.muscleandstrength.com/workouts/mpp-day-1,Fragment: single day of Mass Performance Program (not standalone),home / small gym,muscle building,split,both,beginner,4
workouts__mpp-day-2__52acc89a59.html,Mass Performance Program - Day 2: Lower Body,https://www.muscleandstrength.com/workouts/mpp-day-2,Fragment: single day of Mass Performance Program (not standalone),fully equipped gym,muscle building,split,both,beginner,4
workouts__mpp-day-4__f5c68451ef.html,Mass Performance Program - Day 4: Upper Body,https://www.muscleandstrength.com/workouts/mpp-day-4,Fragment: single day of Mass Performance Program (not standalone),fully equipped gym,muscle building,split,both,beginner,4
workouts__mpp-day-5__22f78cf143.html,Mass Performance Program - Day 5: Lower Body,https://www.muscleandstrength.com/workouts/mpp-day-5,Fragment: single day of Mass Performance Program (not standalone),fully equipped gym,muscle building,split,both,beginner,4
workouts__push-pull-sample-planet-fitness-workout__5bc08b01ea.html,Push/Pull Sample Planet Fitness Workout,https://www.muscleandstrength.com/workouts/push-pull-sample-planet-fitness-workout,"Chain-specific: Planet Fitness equipment/limitations, not general gym",fully equipped gym,muscle building,split,both,beginner,3
workouts__start-from-scratch-phase-3__96b22967b1.html,Start from Scratch Series: Phase 3 of the Complete Beginner’s Program,https://www.muscleandstrength.com/workouts/start-from-scratch-phase-3,Duplicate series: Start from Scratch Phase 3 (keep Phase 2),fully equipped gym,muscle building,split,both,beginner,3
