filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-week-mass-building-program.html__804e618824.html,10 Week Mass Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html,fully equipped gym,muscle building,split,men,advanced,4
workouts__12-week-fat-annihilation-workout__65f5d61841.html,12 Week Total Fat Annihilation Workout Plan,https://www.muscleandstrength.com/workouts/12-week-fat-annihilation-workout,fully equipped gym,fat loss,split,both,advanced,4
workouts__22-4-day-split-bodybuilding-split-routine.html__32b9a4f835.html,4 Day Split Bodybuilding Split Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/22-4-day-split-bodybuilding-split-routine.html,fully equipped gym,muscle building,split,both,advanced,4
workouts__28-plateau-busting-chest-workout.html__b30f5654fd.html,4 Week Plateau Busting Chest Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/28-plateau-busting-chest-workout.html,fully equipped gym,muscle building,single muscle group,both,advanced,1
workouts__29-ab-workout-to-increase-ab-size-.html__f514a8b553.html,Ab Workout To Increase Ab Size | Muscle & Strength,https://www.muscleandstrength.com/workouts/29-ab-workout-to-increase-ab-size-.html,fully equipped gym,muscle building,single muscle group,both,advanced,2
workouts__3-week-pump-tacular-pecs-workout__58fdd8865e.html,Pump-Tacular Pecs: 3 Week Workout to Pump Up Your Chest,https://www.muscleandstrength.com/workouts/3-week-pump-tacular-pecs-workout,fully equipped gym,muscle building,single muscle group,men,advanced,1
workouts__4-day-advanced-upper-lower-workout-program-to-build-mass__cdec2d2ea5.html,4 Day Advanced Upper/Lower Workout Program to Build Mass,https://www.muscleandstrength.com/workouts/4-day-advanced-upper-lower-workout-program-to-build-mass,fully equipped gym,muscle building,split,men,advanced,4
workouts__4-week-absolute-leg-carnage-workout__16e6223219.html,4 Week Absolute Leg Carnage Workout,https://www.muscleandstrength.com/workouts/4-week-absolute-leg-carnage-workout,fully equipped gym,muscle building,single muscle group,both,advanced,1
workouts__4-week-arm-ageddon-blast-arm-workout__422bdd6be0.html,4 Week Arm-Ageddon Blast Arm Workout,https://www.muscleandstrength.com/workouts/4-week-arm-ageddon-blast-arm-workout,fully equipped gym,muscle building,single muscle group,both,advanced,1
workouts__4-week-leg-lashing-blast-workout-program__c44c34f998.html,4 Week Leg-Lashing Blast Workout Program,https://www.muscleandstrength.com/workouts/4-week-leg-lashing-blast-workout-program,fully equipped gym,muscle building,single muscle group,both,advanced,4
workouts__4-week-shoulder-shocker-workout__1d5c1a290e.html,4 Week Shoulder Shocker to Ignite Muscle Growth,https://www.muscleandstrength.com/workouts/4-week-shoulder-shocker-workout,fully equipped gym,muscle building,single muscle group,both,advanced,1
workouts__6-day-workout-and-guide-to-building-muscle-mass__15a8a86e1c.html,6 Day Workout & Guide to Put on Muscle Mass,https://www.muscleandstrength.com/workouts/6-day-workout-and-guide-to-building-muscle-mass,fully equipped gym,muscle building,split,men,advanced,6
workouts__8-week-hit3-gym-workout__d6ff988d76.html,HIT3 Training: 8 Week Intense Muscle-Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-hit3-gym-workout,fully equipped gym,muscle building,split,both,advanced,3
workouts__8-week-plateau-busting-pyramid-workout__8fb0783865.html,8 Week Plateau Busting Pyramid Workout Program,https://www.muscleandstrength.com/workouts/8-week-plateau-busting-pyramid-workout,fully equipped gym,muscle building,split,men,advanced,5
workouts__8-week-spring-shred-program__1f9ac8a46e.html,Spring Shred: 8 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program,fully equipped gym,fat loss,split,both,advanced,5
workouts__advanced-bodybuilder-workout.html__d9d6ec5e03.html,Advanced Bodybuilder Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/advanced-bodybuilder-workout.html,fully equipped gym,muscle building,split,both,advanced,5
workouts__advanced-fat-loss-workout__7f9a73cd01.html,10 Weeks to Shredded: Maximize Your Fat Loss with this Workout,https://www.muscleandstrength.com/workouts/advanced-fat-loss-workout,fully equipped gym,fat loss,split,both,advanced,6
workouts__advanced-muscle-building-workout-for-women__de0b9368aa.html,8-Week Advanced Muscle Building Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/advanced-muscle-building-workout-for-women,fully equipped gym,muscle building,split,women,advanced,4
workouts__big-and-strong-advanced-program__bd0af30848.html,Big and Strong: 8 Week Advanced Strength Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/big-and-strong-advanced-program,fully equipped gym,strength,split,both,advanced,5
workouts__built-different-ppl-workout__8819687a2a.html,Built Different Program: 6 Day PPL Workout Routine,https://www.muscleandstrength.com/workouts/built-different-ppl-workout,fully equipped gym,muscle building,split,both,advanced,6
workouts__clear-muscle-challenge__4d9990b098.html,The 12-Week Clear Muscle Challenge Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/clear-muscle-challenge,fully equipped gym,muscle building,full body,men,advanced,3
workouts__fouad-abiad-back-workout__850bbb628f.html,"Build a ""Hoss"" Back w/ Fouad Abiad's Back Workout",https://www.muscleandstrength.com/workouts/fouad-abiad-back-workout,fully equipped gym,muscle building,single muscle group,men,advanced,1
workouts__fouad-abiads-shoulder-workout__dfc990ebcf.html,Build “Hoss” Shoulders w/ Fouad Abiad’s Shoulder Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/fouad-abiads-shoulder-workout,fully equipped gym,muscle building,single muscle group,men,advanced,1
workouts__increase-your-wingspan-workout__8469c11463.html,The Perfect Back Workout to Increase Your Wingspan,https://www.muscleandstrength.com/workouts/increase-your-wingspan-workout,fully equipped gym,muscle building,single muscle group,both,advanced,1
